x, y, z, t
0.031250, 1.000000, 0.000000, 0.250000
0.000000, 1.000000, 0.000000, 0.250000
0.000000, 0.968750, 0.000000, 0.250000
0.031250, 1.000000, 0.000000, 0.250000
0.031250, 1.000000, 0.000000, 0.250000
0.000000, 0.968750, 0.000000, 0.250000
0.041667, 0.979167, 0.001978, 0.250000
0.031250, 1.000000, 0.000000, 0.250000
0.020833, 0.895833, 0.005207, 0.250000
0.023437, 0.929687, 0.004027, 0.250000
0.000000, 0.906250, 0.000000, 0.250000
0.020833, 0.895833, 0.005207, 0.250000
0.097656, 0.929687, 0.016583, 0.250000
0.083333, 0.958333, 0.008453, 0.250000
0.062500, 0.937500, 0.009445, 0.250000
0.097656, 0.929687, 0.016583, 0.250000
0.041667, 0.979167, 0.001978, 0.250000
0.000000, 0.968750, 0.000000, 0.250000
0.031250, 0.953125, 0.003522, 0.250000
0.041667, 0.979167, 0.001978, 0.250000
0.031250, 1.000000, 0.000000, 0.250000
0.041667, 0.979167, 0.001978, 0.250000
0.062500, 1.000000, 0.000000, 0.250000
0.031250, 1.000000, 0.000000, 0.250000
0.000000, 0.968750, 0.000000, 0.250000
0.000000, 0.937500, 0.000000, 0.250000
0.031250, 0.953125, 0.003522, 0.250000
0.000000, 0.968750, 0.000000, 0.250000
0.020833, 0.895833, 0.005207, 0.250000
0.000000, 0.906250, 0.000000, 0.250000
0.000000, 0.875000, 0.000000, 0.250000
0.020833, 0.895833, 0.005207, 0.250000
0.039062, 0.859375, 0.013101, 0.250000
0.020833, 0.895833, 0.005207, 0.250000
0.000000, 0.875000, 0.000000, 0.250000
0.039062, 0.859375, 0.013101, 0.250000
0.041667, 0.916667, 0.008398, 0.250000
0.023437, 0.929687, 0.004027, 0.250000
0.020833, 0.895833, 0.005207, 0.250000
0.041667, 0.916667, 0.008398, 0.250000
0.078125, 0.906250, 0.017695, 0.250000
0.041667, 0.916667, 0.008398, 0.250000
0.058594, 0.882812, 0.016441, 0.250000
0.078125, 0.906250, 0.017695, 0.250000
0.062500, 0.937500, 0.009445, 0.250000
0.031250, 0.953125, 0.003522, 0.250000
0.041667, 0.916667, 0.008398, 0.250000
0.062500, 0.937500, 0.009445, 0.250000
0.070312, 0.976562, 0.004146, 0.250000
0.104167, 0.979167, 0.005240, 0.250000
0.093750, 1.000000, 0.000000, 0.250000
0.070312, 0.976562, 0.004146, 0.250000
0.031250, 0.953125, 0.003522, 0.250000
0.062500, 0.937500, 0.009445, 0.250000
0.041667, 0.979167, 0.001978, 0.250000
0.031250, 0.953125, 0.003522, 0.250000
0.097656, 0.929687, 0.016583, 0.250000
0.111607, 0.955357, 0.012023, 0.250000
0.083333, 0.958333, 0.008453, 0.250000
0.097656, 0.929687, 0.016583, 0.250000
0.070312, 0.976562, 0.004146, 0.250000
0.083333, 0.958333, 0.008453, 0.250000
0.104167, 0.979167, 0.005240, 0.250000
0.070312, 0.976562, 0.004146, 0.250000
0.041667, 0.979167, 0.001978, 0.250000
0.070312, 0.976562, 0.004146, 0.250000
0.062500, 1.000000, 0.000000, 0.250000
0.041667, 0.979167, 0.001978, 0.250000
0.041667, 0.979167, 0.001978, 0.250000
0.062500, 0.937500, 0.009445, 0.250000
0.070312, 0.976562, 0.004146, 0.250000
0.041667, 0.979167, 0.001978, 0.250000
0.020833, 0.895833, 0.005207, 0.250000
0.058594, 0.882812, 0.016441, 0.250000
0.041667, 0.916667, 0.008398, 0.250000
0.020833, 0.895833, 0.005207, 0.250000
0.236328, 0.892578, 0.056205, 0.250000
0.242647, 0.867647, 0.069956, 0.250000
0.270833, 0.887153, 0.065513, 0.250000
0.236328, 0.892578, 0.056205, 0.250000
0.223214, 0.910714, 0.044866, 0.250000
0.236328, 0.892578, 0.056205, 0.250000
0.257812, 0.906250, 0.052788, 0.250000
0.223214, 0.910714, 0.044866, 0.250000
0.223214, 0.910714, 0.044866, 0.250000
