x, y, z, t
0.031250, 1.000000, 0.000000, 0.156250
0.000000, 1.000000, 0.000000, 0.156250
0.000000, 0.968750, 0.000000, 0.156250
0.031250, 1.000000, 0.000000, 0.156250
0.031250, 1.000000, 0.000000, 0.156250
0.000000, 0.968750, 0.000000, 0.156250
0.041667, 0.979167, 0.001236, 0.156250
0.031250, 1.000000, 0.000000, 0.156250
0.020833, 0.895833, 0.003253, 0.156250
0.023437, 0.929687, 0.002516, 0.156250
0.000000, 0.906250, 0.000000, 0.156250
0.020833, 0.895833, 0.003253, 0.156250
0.097656, 0.929687, 0.010359, 0.156250
0.083333, 0.958333, 0.005281, 0.156250
0.062500, 0.937500, 0.005900, 0.156250
0.097656, 0.929687, 0.010359, 0.156250
0.041667, 0.979167, 0.001236, 0.156250
0.000000, 0.968750, 0.000000, 0.156250
0.031250, 0.953125, 0.002201, 0.156250
0.041667, 0.979167, 0.001236, 0.156250
0.031250, 1.000000, 0.000000, 0.156250
0.041667, 0.979167, 0.001236, 0.156250
0.062500, 1.000000, 0.000000, 0.156250
0.031250, 1.000000, 0.000000, 0.156250
0.000000, 0.968750, 0.000000, 0.156250
0.000000, 0.937500, 0.000000, 0.156250
0.031250, 0.953125, 0.002201, 0.156250
0.000000, 0.968750, 0.000000, 0.156250
0.020833, 0.895833, 0.003253, 0.156250
0.000000, 0.906250, 0.000000, 0.156250
0.000000, 0.875000, 0.000000, 0.156250
0.020833, 0.895833, 0.003253, 0.156250
0.039062, 0.859375, 0.008184, 0.156250
0.020833, 0.895833, 0.003253, 0.156250
0.000000, 0.875000, 0.000000, 0.156250
0.039062, 0.859375, 0.008184, 0.156250
0.041667, 0.916667, 0.005247, 0.156250
0.023437, 0.929687, 0.002516, 0.156250
0.020833, 0.895833, 0.003253, 0.156250
0.041667, 0.916667, 0.005247, 0.156250
0.078125, 0.906250, 0.011054, 0.156250
0.041667, 0.916667, 0.005247, 0.156250
0.058594, 0.882812, 0.010271, 0.156250
0.078125, 0.906250, 0.011054, 0.156250
0.062500, 0.937500, 0.005900, 0.156250
