x, y, z, t
0.031250, 1.000000, 0.000000, 1.000000
0.000000, 1.000000, 0.000000, 1.000000
0.000000, 0.968750, 0.000000, 1.000000
0.031250, 1.000000, 0.000000, 1.000000
0.031250, 1.000000, 0.000000, 1.000000
0.000000, 0.968750, 0.000000, 1.000000
0.041667, 0.979167, 0.007917, 1.000000
0.031250, 1.000000, 0.000000, 1.000000
0.020833, 0.895833, 0.020841, 1.000000
0.023437, 0.929687, 0.016121, 1.000000
0.000000, 0.906250, 0.000000, 1.000000
0.020833, 0.895833, 0.020841, 1.000000
0.097656, 0.929687, 0.066380, 1.000000
0.083333, 0.958333, 0.033837, 1.000000
0.062500, 0.937500, 0.037806, 1.000000
0.097656, 0.929687, 0.066380, 1.000000
0.041667, 0.979167, 0.007917, 1.000000
0.000000, 0.968750, 0.000000, 1.000000
0.031250, 0.953125, 0.014099, 1.000000
0.041667, 0.979167, 0.007917, 1.000000
0.031250, 1.000000, 0.000000, 1.000000
0.041667, 0.979167, 0.007917, 1.000000
0.062500, 1.000000, 0.000000, 1.000000
0.031250, 1.000000, 0.000000, 1.000000
0.000000, 0.968750, 0.000000, 1.000000
0.000000, 0.937500, 0.000000, 1.000000
0.031250, 0.953125, 0.014099, 1.000000
0.000000, 0.968750, 0.000000, 1.000000
0.020833, 0.895833, 0.020841, 1.000000
0.000000, 0.906250, 0.000000, 1.000000
0.000000, 0.875000, 0.000000, 1.000000
0.020833, 0.895833, 0.020841, 1.000000
0.039062, 0.859375, 0.052443, 1.000000
0.020833, 0.895833, 0.020841, 1.000000
0.000000, 0.875000, 0.000000, 1.000000
0.039062, 0.859375, 0.052443, 1.000000
0.041667, 0.916667, 0.033617, 1.000000
0.023437, 0.929687, 0.016121, 1.000000
0.020833, 0.895833, 0.020841, 1.000000
0.041667, 0.916667, 0.033617, 1.000000
0.078125, 0.906250, 0.070833, 1.000000
0.041667, 0.916667, 0.033617, 1.000000
0.058594, 0.882812, 0.065810, 1.000000
0.078125, 0.906250, 0.070833, 1.000000
0.062500, 0.937500, 0.037806, 1.000000
0.031250, 0.953125, 0.014099, 1.000000
0.041667, 0.916667, 0.033617, 1.000000
0.062500, 0.937500, 0.037806, 1.000000
0.070312, 0.976562, 0.016598, 1.000000
0.104167, 0.979167, 0.020973, 1.000000
0.093750, 1.000000, 0.000000, 1.000000
0.070312, 0.976562, 0.016598, 1.000000
0.031250, 0.953125, 0.014099, 1.000000
0.062500, 0.937500, 0.037806, 1.000000
0.041667, 0.979167, 0.007917, 1.000000
0.031250, 0.953125, 0.014099, 1.000000
0.097656, 0.929687, 0.066380, 1.000000
0.111607, 0.955357, 0.048128, 1.000000
