x, y, z, t
0.031250, 1.000000, 0.000000, 0.281250
0.000000, 1.000000, 0.000000, 0.281250
0.000000, 0.968750, 0.000000, 0.281250
0.031250, 1.000000, 0.000000, 0.281250
0.031250, 1.000000, 0.000000, 0.281250
0.000000, 0.968750, 0.000000, 0.281250
0.041667, 0.979167, 0.002225, 0.281250
0.031250, 1.000000, 0.000000, 0.281250
0.020833, 0.895833, 0.005858, 0.281250
0.023437, 0.929687, 0.004531, 0.281250
0.000000, 0.906250, 0.000000, 0.281250
0.020833, 0.895833, 0.005858, 0.281250
0.097656, 0.929687, 0.018658, 0.281250
0.083333, 0.958333, 0.009511, 0.281250
0.062500, 0.937500, 0.010626, 0.281250
0.097656, 0.929687, 0.018658, 0.281250
0.041667, 0.979167, 0.002225, 0.281250
0.000000, 0.968750, 0.000000, 0.281250
0.031250, 0.953125, 0.003963, 0.281250
0.041667, 0.979167, 0.002225, 0.281250
0.031250, 1.000000, 0.000000, 0.281250
0.041667, 0.979167, 0.002225, 0.281250
0.062500, 1.000000, 0.000000, 0.281250
0.031250, 1.000000, 0.000000, 0.281250
0.000000, 0.968750, 0.000000, 0.281250
0.000000, 0.937500, 0.000000, 0.281250
0.031250, 0.953125, 0.003963, 0.281250
0.000000, 0.968750, 0.000000, 0.281250
0.020833, 0.895833, 0.005858, 0.281250
0.000000, 0.906250, 0.000000, 0.281250
0.000000, 0.875000, 0.000000, 0.281250
0.020833, 0.895833, 0.005858, 0.281250
0.039062, 0.859375, 0.014740, 0.281250
0.020833, 0.895833, 0.005858, 0.281250
0.000000, 0.875000, 0.000000, 0.281250
0.039062, 0.859375, 0.014740, 0.281250
0.041667, 0.916667, 0.009449, 0.281250
0.023437, 0.929687, 0.004531, 0.281250
0.020833, 0.895833, 0.005858, 0.281250
0.041667, 0.916667, 0.009449, 0.281250
0.078125, 0.906250, 0.019909, 0.281250
0.041667, 0.916667, 0.009449, 0.281250
0.058594, 0.882812, 0.018498, 0.281250
0.078125, 0.906250, 0.019909, 0.281250
0.062500, 0.937500, 0.010626, 0.281250
0.031250, 0.953125, 0.003963, 0.281250
0.041667, 0.916667, 0.009449, 0.281250
0.062500, 0.937500, 0.010626, 0.281250
0.070312, 0.976562, 0.004665, 0.281250
0.104167, 0.979167, 0.005895, 0.281250
0.093750, 1.000000, 0.000000, 0.281250
0.070312, 0.976562, 0.004665, 0.281250
0.031250, 0.953125, 0.003963, 0.281250
0.062500, 0.937500, 0.010626, 0.281250
0.041667, 0.979167, 0.002225, 0.281250
0.031250, 0.953125, 0.003963, 0.281250
0.097656, 0.929687, 0.018658, 0.281250
0.111607, 0.955357, 0.013528, 0.281250
0.083333, 0.958333, 0.009511, 0.281250
0.097656, 0.929687, 0.018658, 0.281250
0.070312, 0.976562, 0.004665, 0.281250
0.083333, 0.958333, 0.009511, 0.281250
0.104167, 0.979167, 0.005895, 0.281250
0.070312, 0.976562, 0.004665, 0.281250
0.041667, 0.979167, 0.002225, 0.281250
0.070312, 0.976562, 0.004665, 0.281250
0.062500, 1.000000, 0.000000, 0.281250
0.041667, 0.979167, 0.002225, 0.281250
0.041667, 0.979167, 0.002225, 0.281250
0.062500, 0.937500, 0.010626, 0.281250
0.070312, 0.976562, 0.004665, 0.281250
0.041667, 0.979167, 0.002225, 0.281250
0.020833, 0.895833, 0.005858, 0.281250
0.058594, 0.882812, 0.018498, 0.281250
0.041667, 0.916667, 0.009449, 0.281250
0.020833, 0.895833, 0.005858, 0.281250
0.236328, 0.892578, 0.063238, 0.281250
0.242647, 0.867647, 0.078709, 0.281250
0.270833, 0.887153, 0.073710, 0.281250
0.236328, 0.892578, 0.063238, 0.281250
0.223214, 0.910714, 0.050480, 0.281250
0.236328, 0.892578, 0.063238, 0.281250
0.257812, 0.906250, 0.059393, 0.281250
0.223214, 0.910714, 0.050480, 0.281250
0.223214, 0.910714, 0.050480, 0.281250
0.200893, 0.888393, 0.057169, 0.281250
0.236328, 0.892578, 0.063238, 0.281250
0.223214, 0.910714, 0.050480, 0.281250
0.208333, 0.953125, 0.025137, 0.281250
0.187500, 0.929687, 0.034290, 0.281250
0.223214, 0.910714, 0.050480, 0.281250
0.208333, 0.953125, 0.025137, 0.281250
0.218750, 1.000000, 0.000000, 0.281250
0.196875, 0.978125, 0.011191, 0.281250
0.229167, 0.976562, 0.013570, 0.281250
0.218750, 1.000000, 0.000000, 0.281250
0.178571, 0.866071, 0.061370, 0.281250
0.156250, 0.843750, 0.062761, 0.281250
0.171875, 0.828125, 0.074635, 0.281250
0.178571, 0.866071, 0.061370, 0.281250
0.223214, 0.910714, 0.050480, 0.281250
0.187500, 0.929687, 0.034290, 0.281250
0.200893, 0.888393, 0.057169, 0.281250
0.223214, 0.910714, 0.050480, 0.281250
0.214844, 0.859375, 0.075438, 0.281250
0.236328, 0.892578, 0.063238, 0.281250
0.200893, 0.888393, 0.057169, 0.281250
0.214844, 0.859375, 0.075438, 0.281250
0.257812, 0.906250, 0.059393, 0.281250
0.279297, 0.929687, 0.047610, 0.281250
0.245536, 0.933036, 0.041149, 0.281250
0.257812, 0.906250, 0.059393, 0.281250
0.151442, 0.870192, 0.051304, 0.281250
0.125000, 0.859375, 0.046196, 0.281250
0.156250, 0.843750, 0.062761, 0.281250
0.151442, 0.870192, 0.051304, 0.281250
0.173077, 0.891827, 0.048778, 0.281250
0.151442, 0.870192, 0.051304, 0.281250
0.178571, 0.866071, 0.061370, 0.281250
