x, y, z, t
0.031250, 1.000000, 0.000000, 0.125000
0.000000, 1.000000, 0.000000, 0.125000
0.000000, 0.968750, 0.000000, 0.125000
0.031250, 1.000000, 0.000000, 0.125000
0.031250, 1.000000, 0.000000, 0.125000
0.000000, 0.968750, 0.000000, 0.125000
0.041667, 0.979167, 0.000988, 0.125000
0.031250, 1.000000, 0.000000, 0.125000
0.020833, 0.895833, 0.002602, 0.125000
0.023437, 0.929687, 0.002012, 0.125000
0.000000, 0.906250, 0.000000, 0.125000
0.020833, 0.895833, 0.002602, 0.125000
0.097656, 0.929687, 0.008286, 0.125000
0.083333, 0.958333, 0.004224, 0.125000
0.062500, 0.937500, 0.004719, 0.125000
0.097656, 0.929687, 0.008286, 0.125000
0.041667, 0.979167, 0.000988, 0.125000
0.000000, 0.968750, 0.000000, 0.125000
0.031250, 0.953125, 0.001760, 0.125000
0.041667, 0.979167, 0.000988, 0.125000
0.031250, 1.000000, 0.000000, 0.125000
0.041667, 0.979167, 0.000988, 0.125000
0.062500, 1.000000, 0.000000, 0.125000
0.031250, 1.000000, 0.000000, 0.125000
0.000000, 0.968750, 0.000000, 0.125000
0.000000, 0.937500, 0.000000, 0.125000
0.031250, 0.953125, 0.001760, 0.125000
0.000000, 0.968750, 0.000000, 0.125000
0.020833, 0.895833, 0.002602, 0.125000
0.000000, 0.906250, 0.000000, 0.125000
0.000000, 0.875000, 0.000000, 0.125000
0.020833, 0.895833, 0.002602, 0.125000
0.039062, 0.859375, 0.006546, 0.125000
0.020833, 0.895833, 0.002602, 0.125000
0.000000, 0.875000, 0.000000, 0.125000
0.039062, 0.859375, 0.006546, 0.125000
0.041667, 0.916667, 0.004196, 0.125000
0.023437, 0.929687, 0.002012, 0.125000
0.020833, 0.895833, 0.002602, 0.125000
0.041667, 0.916667, 0.004196, 0.125000
0.078125, 0.906250, 0.008841, 0.125000
0.041667, 0.916667, 0.004196, 0.125000
0.058594, 0.882812, 0.008215, 0.125000
0.078125, 0.906250, 0.008841, 0.125000
0.062500, 0.937500, 0.004719, 0.125000
0.031250, 0.953125, 0.001760, 0.125000
0.041667, 0.916667, 0.004196, 0.125000
0.062500, 0.937500, 0.004719, 0.125000
0.070312, 0.976562, 0.002072, 0.125000
0.104167, 0.979167, 0.002618, 0.125000
0.093750, 1.000000, 0.000000, 0.125000
0.070312, 0.976562, 0.002072, 0.125000
0.031250, 0.953125, 0.001760, 0.125000
0.062500, 0.937500, 0.004719, 0.125000
0.041667, 0.979167, 0.000988, 0.125000
0.031250, 0.953125, 0.001760, 0.125000
0.097656, 0.929687, 0.008286, 0.125000
0.111607, 0.955357, 0.006007, 0.125000
0.083333, 0.958333, 0.004224, 0.125000
0.097656, 0.929687, 0.008286, 0.125000
0.070312, 0.976562, 0.002072, 0.125000
0.083333, 0.958333, 0.004224, 0.125000
0.104167, 0.979167, 0.002618, 0.125000
0.070312, 0.976562, 0.002072, 0.125000
0.041667, 0.979167, 0.000988, 0.125000
0.070312, 0.976562, 0.002072, 0.125000
0.062500, 1.000000, 0.000000, 0.125000
0.041667, 0.979167, 0.000988, 0.125000
0.041667, 0.979167, 0.000988, 0.125000
0.062500, 0.937500, 0.004719, 0.125000
0.070312, 0.976562, 0.002072, 0.125000
0.041667, 0.979167, 0.000988, 0.125000
0.020833, 0.895833, 0.002602, 0.125000
0.058594, 0.882812, 0.008215, 0.125000
0.041667, 0.916667, 0.004196, 0.125000
0.020833, 0.895833, 0.002602, 0.125000
0.236328, 0.892578, 0.028082, 0.125000
0.242647, 0.867647, 0.034952, 0.125000
0.270833, 0.887153, 0.032732, 0.125000
0.236328, 0.892578, 0.028082, 0.125000
0.223214, 0.910714, 0.022417, 0.125000
0.236328, 0.892578, 0.028082, 0.125000
0.257812, 0.906250, 0.026374, 0.125000
0.223214, 0.910714, 0.022417, 0.125000
0.223214, 0.910714, 0.022417, 0.125000
0.200893, 0.888393, 0.025387, 0.125000
0.236328, 0.892578, 0.028082, 0.125000
0.223214, 0.910714, 0.022417, 0.125000
0.208333, 0.953125, 0.011163, 0.125000
0.187500, 0.929687, 0.015227, 0.125000
0.223214, 0.910714, 0.022417, 0.125000
