x, y, z, t
0.031250, 1.000000, 0.000000, 0.500000
0.000000, 1.000000, 0.000000, 0.500000
0.000000, 0.968750, 0.000000, 0.500000
0.031250, 1.000000, 0.000000, 0.500000
0.031250, 1.000000, 0.000000, 0.500000
0.000000, 0.968750, 0.000000, 0.500000
0.041667, 0.979167, 0.003958, 0.500000
0.031250, 1.000000, 0.000000, 0.500000
0.020833, 0.895833, 0.010418, 0.500000
0.023437, 0.929687, 0.008058, 0.500000
0.000000, 0.906250, 0.000000, 0.500000
0.020833, 0.895833, 0.010418, 0.500000
0.097656, 0.929687, 0.033182, 0.500000
0.083333, 0.958333, 0.016914, 0.500000
0.062500, 0.937500, 0.018898, 0.500000
0.097656, 0.929687, 0.033182, 0.500000
0.041667, 0.979167, 0.003958, 0.500000
0.000000, 0.968750, 0.000000, 0.500000
0.031250, 0.953125, 0.007048, 0.500000
0.041667, 0.979167, 0.003958, 0.500000
0.031250, 1.000000, 0.000000, 0.500000
0.041667, 0.979167, 0.003958, 0.500000
0.062500, 1.000000, 0.000000, 0.500000
0.031250, 1.000000, 0.000000, 0.500000
0.000000, 0.968750, 0.000000, 0.500000
0.000000, 0.937500, 0.000000, 0.500000
0.031250, 0.953125, 0.007048, 0.500000
0.000000, 0.968750, 0.000000, 0.500000
0.020833, 0.895833, 0.010418, 0.500000
0.000000, 0.906250, 0.000000, 0.500000
0.000000, 0.875000, 0.000000, 0.500000
0.020833, 0.895833, 0.010418, 0.500000
0.039062, 0.859375, 0.026215, 0.500000
0.020833, 0.895833, 0.010418, 0.500000
0.000000, 0.875000, 0.000000, 0.500000
0.039062, 0.859375, 0.026215, 0.500000
0.041667, 0.916667, 0.016804, 0.500000
0.023437, 0.929687, 0.008058, 0.500000
0.020833, 0.895833, 0.010418, 0.500000
0.041667, 0.916667, 0.016804, 0.500000
0.078125, 0.906250, 0.035408, 0.500000
0.041667, 0.916667, 0.016804, 0.500000
0.058594, 0.882812, 0.032897, 0.500000
0.078125, 0.906250, 0.035408, 0.500000
0.062500, 0.937500, 0.018898, 0.500000
0.031250, 0.953125, 0.007048, 0.500000
0.041667, 0.916667, 0.016804, 0.500000
0.062500, 0.937500, 0.018898, 0.500000
0.070312, 0.976562, 0.008297, 0.500000
