x, y, z, t
0.031250, 1.000000, 0.000000, 0.625000
0.000000, 1.000000, 0.000000, 0.625000
0.000000, 0.968750, 0.000000, 0.625000
0.031250, 1.000000, 0.000000, 0.625000
0.031250, 1.000000, 0.000000, 0.625000
0.000000, 0.968750, 0.000000, 0.625000
0.041667, 0.979167, 0.004947, 0.625000
0.031250, 1.000000, 0.000000, 0.625000
0.020833, 0.895833, 0.013024, 0.625000
0.023437, 0.929687, 0.010074, 0.625000
0.000000, 0.906250, 0.000000, 0.625000
0.020833, 0.895833, 0.013024, 0.625000
0.097656, 0.929687, 0.041482, 0.625000
0.083333, 0.958333, 0.021145, 0.625000
0.062500, 0.937500, 0.023625, 0.625000
0.097656, 0.929687, 0.041482, 0.625000
0.041667, 0.979167, 0.004947, 0.625000
0.000000, 0.968750, 0.000000, 0.625000
0.031250, 0.953125, 0.008811, 0.625000
0.041667, 0.979167, 0.004947, 0.625000
0.031250, 1.000000, 0.000000, 0.625000
0.041667, 0.979167, 0.004947, 0.625000
0.062500, 1.000000, 0.000000, 0.625000
0.031250, 1.000000, 0.000000, 0.625000
0.000000, 0.968750, 0.000000, 0.625000
0.000000, 0.937500, 0.000000, 0.625000
0.031250, 0.953125, 0.008811, 0.625000
0.000000, 0.968750, 0.000000, 0.625000
0.020833, 0.895833, 0.013024, 0.625000
0.000000, 0.906250, 0.000000, 0.625000
0.000000, 0.875000, 0.000000, 0.625000
0.020833, 0.895833, 0.013024, 0.625000
0.039062, 0.859375, 0.032772, 0.625000
0.020833, 0.895833, 0.013024, 0.625000
0.000000, 0.875000, 0.000000, 0.625000
0.039062, 0.859375, 0.032772, 0.625000
0.041667, 0.916667, 0.021007, 0.625000
0.023437, 0.929687, 0.010074, 0.625000
0.020833, 0.895833, 0.013024, 0.625000
0.041667, 0.916667, 0.021007, 0.625000
0.078125, 0.906250, 0.044264, 0.625000
0.041667, 0.916667, 0.021007, 0.625000
0.058594, 0.882812, 0.041125, 0.625000
0.078125, 0.906250, 0.044264, 0.625000
0.062500, 0.937500, 0.023625, 0.625000
0.031250, 0.953125, 0.008811, 0.625000
0.041667, 0.916667, 0.021007, 0.625000
0.062500, 0.937500, 0.023625, 0.625000
0.070312, 0.976562, 0.010372, 0.625000
0.104167, 0.979167, 0.013106, 0.625000
0.093750, 1.000000, 0.000000, 0.625000
0.070312, 0.976562, 0.010372, 0.625000
0.031250, 0.953125, 0.008811, 0.625000
0.062500, 0.937500, 0.023625, 0.625000
0.041667, 0.979167, 0.004947, 0.625000
0.031250, 0.953125, 0.008811, 0.625000
0.097656, 0.929687, 0.041482, 0.625000
0.111607, 0.955357, 0.030076, 0.625000
0.083333, 0.958333, 0.021145, 0.625000
0.097656, 0.929687, 0.041482, 0.625000
0.070312, 0.976562, 0.010372, 0.625000
0.083333, 0.958333, 0.021145, 0.625000
0.104167, 0.979167, 0.013106, 0.625000
