x, y, z, t
0.000000, 1.000000, 0.000000, 0.687500
0.000000, 0.750000, 0.000000, 0.687500
0.250000, 1.000000, 0.000000, 0.687500
0.000000, 1.000000, 0.000000, 0.687500
0.000000, 0.000000, 0.000000, 0.687500
0.250000, 0.000000, 0.000000, 0.687500
0.000000, 0.250000, 0.000000, 0.687500
0.000000, 0.000000, 0.000000, 0.687500
0.333333, 0.166667, 0.285475, 0.687500
0.250000, 0.000000, 0.000000, 0.687500
0.500000, 0.000000, 0.000000, 0.687500
0.333333, 0.166667, 0.285475, 0.687500
0.666667, 0.166667, 0.310790, 0.687500
0.333333, 0.166667, 0.285475, 0.687500
0.500000, 0.000000, 0.000000, 0.687500
0.666667, 0.166667, 0.310790, 0.687500
0.166667, 0.333333, 0.372658, 0.687500
0.250000, 0.000000, 0.000000, 0.687500
0.333333, 0.166667, 0.285475, 0.687500
0.166667, 0.333333, 0.372658, 0.687500
0.250000, 0.500000, 0.708691, 0.687500
0.333333, 0.166667, 0.285475, 0.687500
0.500000, 0.500000, 1.127886, 0.687500
0.250000, 0.500000, 0.708691, 0.687500
1.000000, 0.000000, 0.000000, 0.687500
1.000000, 0.250000, 0.000000, 0.687500
0.750000, 0.000000, 0.000000, 0.687500
1.000000, 0.000000, 0.000000, 0.687500
0.833333, 0.333333, 0.344813, 0.687500
0.750000, 0.500000, 0.697087, 0.687500
0.666667, 0.166667, 0.310790, 0.687500
0.833333, 0.333333, 0.344813, 0.687500
1.000000, 0.250000, 0.000000, 0.687500
0.833333, 0.333333, 0.344813, 0.687500
0.666667, 0.166667, 0.310790, 0.687500
1.000000, 0.250000, 0.000000, 0.687500
1.000000, 0.250000, 0.000000, 0.687500
1.000000, 0.500000, 0.000000, 0.687500
0.833333, 0.333333, 0.344813, 0.687500
1.000000, 0.250000, 0.000000, 0.687500
1.000000, 0.500000, 0.000000, 0.687500
0.750000, 0.500000, 0.697087, 0.687500
0.833333, 0.333333, 0.344813, 0.687500
1.000000, 0.500000, 0.000000, 0.687500
0.750000, 0.500000, 0.697087, 0.687500
1.000000, 0.500000, 0.000000, 0.687500
0.833333, 0.666667, 0.368225, 0.687500
0.750000, 0.500000, 0.697087, 0.687500
0.666667, 0.833333, 0.283024, 0.687500
0.750000, 0.500000, 0.697087, 0.687500
0.833333, 0.666667, 0.368225, 0.687500
0.666667, 0.833333, 0.283024, 0.687500
0.500000, 0.500000, 1.127886, 0.687500
0.666667, 0.166667, 0.310790, 0.687500
0.750000, 0.500000, 0.697087, 0.687500
0.500000, 0.500000, 1.127886, 0.687500
1.000000, 1.000000, 0.000000, 0.687500
0.750000, 1.000000, 0.000000, 0.687500
1.000000, 0.750000, 0.000000, 0.687500
1.000000, 1.000000, 0.000000, 0.687500
0.833333, 0.666667, 0.368225, 0.687500
1.000000, 0.750000, 0.000000, 0.687500
0.750000, 1.000000, 0.000000, 0.687500
0.833333, 0.666667, 0.368225, 0.687500
0.333333, 0.833333, 0.284006, 0.687500
0.500000, 1.000000, 0.000000, 0.687500
0.250000, 1.000000, 0.000000, 0.687500
0.333333, 0.833333, 0.284006, 0.687500
0.000000, 0.750000, 0.000000, 0.687500
0.166667, 0.666667, 0.372248, 0.687500
0.250000, 1.000000, 0.000000, 0.687500
0.000000, 0.750000, 0.000000, 0.687500
0.500000, 0.500000, 1.127886, 0.687500
0.666667, 0.833333, 0.283024, 0.687500
0.333333, 0.833333, 0.284006, 0.687500
0.500000, 0.500000, 1.127886, 0.687500
