x, y, z, t
0.031250, 1.000000, 0.000000, 0.218750
0.000000, 1.000000, 0.000000, 0.218750
0.000000, 0.968750, 0.000000, 0.218750
0.031250, 1.000000, 0.000000, 0.218750
0.031250, 1.000000, 0.000000, 0.218750
0.000000, 0.968750, 0.000000, 0.218750
0.041667, 0.979167, 0.001731, 0.218750
0.031250, 1.000000, 0.000000, 0.218750
0.020833, 0.895833, 0.004555, 0.218750
0.023437, 0.929687, 0.003524, 0.218750
0.000000, 0.906250, 0.000000, 0.218750
0.020833, 0.895833, 0.004555, 0.218750
0.097656, 0.929687, 0.014508, 0.218750
0.083333, 0.958333, 0.007396, 0.218750
0.062500, 0.937500, 0.008263, 0.218750
0.097656, 0.929687, 0.014508, 0.218750
0.041667, 0.979167, 0.001731, 0.218750
0.000000, 0.968750, 0.000000, 0.218750
0.031250, 0.953125, 0.003082, 0.218750
0.041667, 0.979167, 0.001731, 0.218750
0.031250, 1.000000, 0.000000, 0.218750
0.041667, 0.979167, 0.001731, 0.218750
0.062500, 1.000000, 0.000000, 0.218750
0.031250, 1.000000, 0.000000, 0.218750
0.000000, 0.968750, 0.000000, 0.218750
0.000000, 0.937500, 0.000000, 0.218750
0.031250, 0.953125, 0.003082, 0.218750
0.000000, 0.968750, 0.000000, 0.218750
0.020833, 0.895833, 0.004555, 0.218750
0.000000, 0.906250, 0.000000, 0.218750
0.000000, 0.875000, 0.000000, 0.218750
0.020833, 0.895833, 0.004555, 0.218750
0.039062, 0.859375, 0.011462, 0.218750
0.020833, 0.895833, 0.004555, 0.218750
0.000000, 0.875000, 0.000000, 0.218750
0.039062, 0.859375, 0.011462, 0.218750
0.041667, 0.916667, 0.007348, 0.218750
0.023437, 0.929687, 0.003524, 0.218750
0.020833, 0.895833, 0.004555, 0.218750
0.041667, 0.916667, 0.007348, 0.218750
0.078125, 0.906250, 0.015482, 0.218750
0.041667, 0.916667, 0.007348, 0.218750
0.058594, 0.882812, 0.014384, 0.218750
0.078125, 0.906250, 0.015482, 0.218750
0.062500, 0.937500, 0.008263, 0.218750
0.031250, 0.953125, 0.003082, 0.218750
0.041667, 0.916667, 0.007348, 0.218750
0.062500, 0.937500, 0.008263, 0.218750
0.070312, 0.976562, 0.003628, 0.218750
0.104167, 0.979167, 0.004584, 0.218750
0.093750, 1.000000, 0.000000, 0.218750
0.070312, 0.976562, 0.003628, 0.218750
0.031250, 0.953125, 0.003082, 0.218750
0.062500, 0.937500, 0.008263, 0.218750
0.041667, 0.979167, 0.001731, 0.218750
0.031250, 0.953125, 0.003082, 0.218750
0.097656, 0.929687, 0.014508, 0.218750
0.111607, 0.955357, 0.010519, 0.218750
0.083333, 0.958333, 0.007396, 0.218750
0.097656, 0.929687, 0.014508, 0.218750
0.070312, 0.976562, 0.003628, 0.218750
0.083333, 0.958333, 0.007396, 0.218750
0.104167, 0.979167, 0.004584, 0.218750
0.070312, 0.976562, 0.003628, 0.218750
0.041667, 0.979167, 0.001731, 0.218750
0.070312, 0.976562, 0.003628, 0.218750
0.062500, 1.000000, 0.000000, 0.218750
0.041667, 0.979167, 0.001731, 0.218750
0.041667, 0.979167, 0.001731, 0.218750
0.062500, 0.937500, 0.008263, 0.218750
0.070312, 0.976562, 0.003628, 0.218750
0.041667, 0.979167, 0.001731, 0.218750
0.020833, 0.895833, 0.004555, 0.218750
0.058594, 0.882812, 0.014384, 0.218750
0.041667, 0.916667, 0.007348, 0.218750
0.020833, 0.895833, 0.004555, 0.218750
0.236328, 0.892578, 0.049173, 0.218750
0.242647, 0.867647, 0.061204, 0.218750
0.270833, 0.887153, 0.057317, 0.218750
0.236328, 0.892578, 0.049173, 0.218750
0.223214, 0.910714, 0.039253, 0.218750
0.236328, 0.892578, 0.049173, 0.218750
0.257812, 0.906250, 0.046184, 0.218750
0.223214, 0.910714, 0.039253, 0.218750
0.223214, 0.910714, 0.039253, 0.218750
0.200893, 0.888393, 0.044455, 0.218750
0.236328, 0.892578, 0.049173, 0.218750
0.223214, 0.910714, 0.039253, 0.218750
0.208333, 0.953125, 0.019547, 0.218750
0.187500, 0.929687, 0.026664, 0.218750
0.223214, 0.910714, 0.039253, 0.218750
0.208333, 0.953125, 0.019547, 0.218750
0.218750, 1.000000, 0.000000, 0.218750
0.196875, 0.978125, 0.008702, 0.218750
0.229167, 0.976562, 0.010552, 0.218750
0.218750, 1.000000, 0.000000, 0.218750
0.178571, 0.866071, 0.047721, 0.218750
0.156250, 0.843750, 0.048803, 0.218750
0.171875, 0.828125, 0.058036, 0.218750
0.178571, 0.866071, 0.047721, 0.218750
0.223214, 0.910714, 0.039253, 0.218750
0.187500, 0.929687, 0.026664, 0.218750
0.200893, 0.888393, 0.044455, 0.218750
0.223214, 0.910714, 0.039253, 0.218750
0.214844, 0.859375, 0.058660, 0.218750
0.236328, 0.892578, 0.049173, 0.218750
0.200893, 0.888393, 0.044455, 0.218750
0.214844, 0.859375, 0.058660, 0.218750
0.257812, 0.906250, 0.046184, 0.218750
0.279297, 0.929687, 0.037022, 0.218750
0.245536, 0.933036, 0.031997, 0.218750
0.257812, 0.906250, 0.046184, 0.218750
0.151442, 0.870192, 0.039894, 0.218750
0.125000, 0.859375, 0.035922, 0.218750
0.156250, 0.843750, 0.048803, 0.218750
0.151442, 0.870192, 0.039894, 0.218750
0.173077, 0.891827, 0.037930, 0.218750
0.151442, 0.870192, 0.039894, 0.218750
0.178571, 0.866071, 0.047721, 0.218750
0.173077, 0.891827, 0.037930, 0.218750
0.136364, 0.900568, 0.028007, 0.218750
0.113636, 0.880682, 0.028072, 0.218750
0.151442, 0.870192, 0.039894, 0.218750
0.136364, 0.900568, 0.028007, 0.218750
0.225694, 0.819444, 0.076823, 0.218750
0.240625, 0.803125, 0.087315, 0.218750
0.262500, 0.825000, 0.084262, 0.218750
0.225694, 0.819444, 0.076823, 0.218750
0.193359, 0.835937, 0.061751, 0.218750
0.225694, 0.819444, 0.076823, 0.218750
0.214844, 0.859375, 0.058660, 0.218750
0.193359, 0.835937, 0.061751, 0.218750
0.193359, 0.835937, 0.061751, 0.218750
0.203125, 0.796875, 0.077909, 0.218750
0.225694, 0.819444, 0.076823, 0.218750
0.193359, 0.835937, 0.061751, 0.218750
0.045455, 0.821023, 0.016619, 0.218750
0.023437, 0.835937, 0.007903, 0.218750
0.021875, 0.803125, 0.008713, 0.218750
0.045455, 0.821023, 0.016619, 0.218750
0.045455, 0.795455, 0.018721, 0.218750
0.043269, 0.762019, 0.020192, 0.218750
0.064904, 0.783654, 0.027933, 0.218750
0.045455, 0.795455, 0.018721, 0.218750
0.156250, 0.843750, 0.048803, 0.218750
0.120192, 0.826923, 0.041857, 0.218750
0.137500, 0.812500, 0.051002, 0.218750
0.156250, 0.843750, 0.048803, 0.218750
0.214844, 0.859375, 0.058660, 0.218750
0.178571, 0.866071, 0.047721, 0.218750
0.193359, 0.835937, 0.061751, 0.218750
0.214844, 0.859375, 0.058660, 0.218750
0.125000, 0.859375, 0.035922, 0.218750
0.120192, 0.826923, 0.041857, 0.218750
0.156250, 0.843750, 0.048803, 0.218750
